Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume		
29-Aug-25	266.51		-0.26	-0.10%	266.77	265.54	267.27	"1,562,764"		
28-Aug-25	266.77		-3.35	-1.24%	269.55	265.9	270.31	"1,753,278"		
27-Aug-25	270.12		-1.49	-0.55%	271.26	269.56	272.07	"1,397,578"		
26-Aug-25	271.61		0.22	0.08%	270.37	269.4	273.23	"3,298,737"		
25-Aug-25	271.39		1.87	0.69%	269.58	268.54	271.66	"1,712,588"		
22-Aug-25	269.52		-3.8	-1.39%	274.14	268.66	274.95	"1,591,625"		
21-Aug-25	273.32		-1.29	-0.47%	275	273.04	275.61	"1,325,711"		
20-Aug-25	274.61		3.12	1.15%	272.99	271.53	275.59	"1,738,747"		
19-Aug-25	271.49		1.08	0.40%	270.41	269.5	272.75	"1,767,472"		
18-Aug-25	270.41		-3.51	-1.28%	274.2	270.15	276	"2,165,008"		
15-Aug-25	273.92		-0.78	-0.28%	274.7	273.37	276.52	"2,056,519"		
14-Aug-25	274.7		0.78	0.28%	276.11	273.92	277.28	"1,971,004"		
13-Aug-25	273.92		-1.96	-0.71%	275	271.81	275.78	"2,384,299"		
12-Aug-25	275.88		-9.87	-3.45%	286	274.53	286.06	"2,742,623"		
11-Aug-25	285.75		3.54	1.25%	280.95	280.95	288.28	"1,567,703"		
8-Aug-25	282.21		1.26	0.45%	281.97	280	284.3	"1,488,494"		
7-Aug-25	280.95		-0.4	-0.14%	281.4	278.55	283.55	"1,676,006"		
6-Aug-25	281.35		-3.26	-1.15%	283.8	279.1	283.98	"1,689,089"		
5-Aug-25	284.61		-2.49	-0.87%	287.21	284.43	287.59	"1,572,082"		
4-Aug-25	287.1		6.34	2.26%	280.76	280.53	287.27	"1,727,065"		
1-Aug-25	280.76		2.48	0.89%	280.79	279.15	282.06	"3,011,141"		
31-Jul-25	278.28		0.54	0.19%	276.97	276.07	280.85	"1,961,655"		
30-Jul-25	277.74		3.14	1.14%	274.82	273.57	278.3	"1,410,980"		
29-Jul-25	274.6		0.48	0.18%	274.64	274.02	278.15	"2,147,380"		
28-Jul-25	274.12		-5.43	-1.94%	278.7	273.86	279.68	"2,233,374"		
25-Jul-25	279.55		2.37	0.86%	277.91	277.03	281.8	"1,834,739"		
24-Jul-25	277.18		0.7	0.25%	276.46	273.03	279.01	"2,720,653"		
23-Jul-25	276.48		1.84	0.67%	274.22	273.31	280.39	"2,665,714"		
22-Jul-25	274.64		-0.36	-0.13%	275	273.25	275.68	"2,722,729"		
21-Jul-25	275		0.3	0.11%	273.54	272	276.99	"1,998,831"		
18-Jul-25	274.7		-3.12	-1.12%	277.92	274.3	278.47	"2,197,282"		
17-Jul-25	277.82		0.29	0.10%	276.87	276.44	279.74	"2,018,961"		
16-Jul-25	277.53		2.53	0.92%	275	273.71	279.34	"2,452,478"		
15-Jul-25	275		-2.06	-0.74%	274.1	272.25	275.48	"1,962,092"		
14-Jul-25	277.06		1.98	0.72%	276.44	275.71	278.33	"1,470,399"		
11-Jul-25	275.08		-0.11	-0.04%	276.12	274.23	276.98	"1,531,718"		
10-Jul-25	275.19		-0.45	-0.16%	275.64	274.71	277.9	"1,602,141"		
9-Jul-25	275.64		0.01	0.00%	275	271.56	275.75	"2,841,501"		
8-Jul-25	275.63		-6.92	-2.45%	280.55	274.57	281.93	"3,437,329"		
7-Jul-25	282.55		5.85	2.11%	277.24	274.99	282.57	"2,252,337"		
3-Jul-25	276.7		0.88	0.32%	275.83	273.49	276.91	"1,234,017"		
2-Jul-25	275.82		0.4	0.15%	275	271.12	276.55	"2,074,834"		
1-Jul-25	275.42		-0.2	-0.07%	277.64	271.18	277.64	"2,010,485"		
30-Jun-25	275.62		0.86	0.31%	274.21	272.03	275.91	"2,473,291"		
27-Jun-25	274.76		1.93	0.71%	272.57	271.51	274.93	"2,682,059"		
26-Jun-25	272.83		-0.2	-0.07%	274.56	271.73	274.56	"2,428,805"		
25-Jun-25	273.03		1.65	0.61%	270.63	269.69	273.54	"1,590,089"		
24-Jun-25	271.38		-1.28	-0.47%	273.33	270	273.59	"2,344,663"		
23-Jun-25	272.66		-1.33	-0.49%	274.26	271.08	275.83	"2,363,239"		
20-Jun-25	273.99		1.89	0.69%	271.42	263.21	274.28	"10,645,719"		
18-Jun-25	272.1		2.4	0.89%	269.82	268.21	272.29	"2,539,458"		
17-Jun-25	269.7		2.19	0.82%	267.6	266.4	270.52	"1,795,638"		
16-Jun-25	267.51		-1.99	-0.74%	269.66	266	270.94	"3,208,615"		
13-Jun-25	269.5		-1.46	-0.54%	273.97	268.85	273.97	"1,576,361"		
12-Jun-25	270.96		1.31	0.49%	270.59	268.25	272.07	"2,194,303"		
11-Jun-25	269.65		3.55	1.33%	266.11	264.35	269.72	"2,749,171"		
10-Jun-25	266.1		-2.25	-0.84%	268.89	264.31	269.06	"2,640,428"		
9-Jun-25	268.35		-5.89	-2.15%	271.54	265.02	271.82	"3,020,224"		
6-Jun-25	274.24		-0.66	-0.24%	275.18	270.2	275.71	"1,636,081"		
5-Jun-25	274.9		-2.98	-1.07%	277.88	274.25	278.13	"1,958,168"		
4-Jun-25	277.88		-4.43	-1.57%	282.19	277.51	282.19	"1,837,438"		
3-Jun-25	282.31		-8.4	-2.89%	289.38	278.1	289.57	"2,745,688"		
2-Jun-25	290.71		1.71	0.59%	288.1	287.17	290.79	"2,150,245"		
30-May-25	289		3.13	1.09%	286.34	285.57	290.1	"4,721,409"		
29-May-25	285.87		-0.11	-0.04%	284.97	284.24	287.1	"1,486,176"		
28-May-25	285.98		1.62	0.57%	284.58	284	287.05	"2,297,669"		
27-May-25	284.36		0.29	0.10%	283.76	281.38	284.91	"1,792,868"		
23-May-25	284.07		2.07	0.73%	281.8	280.39	285.87	"2,323,476"		
22-May-25	282		0.26	0.09%	281.93	280.38	284.04	"1,783,298"		
21-May-25	281.74		3.87	1.39%	277.21	276.81	282.2	"2,221,647"		
20-May-25	277.87		-0.07	-0.03%	278.27	275.82	278.42	"1,389,202"		
19-May-25	277.94		1.65	0.60%	277.11	276.37	279.87	"1,617,982"		
16-May-25	276.29		2.29	0.84%	273.74	273.44	276.56	"1,516,121"		
15-May-25	274		7.72	2.90%	268.38	266.86	274.24	"2,226,243"		
14-May-25	266.28		-2.06	-0.77%	268.76	265.72	269.27	"2,483,203"		
13-May-25	268.34		-2.13	-0.79%	270.01	268.18	272.41	"3,201,184"		
12-May-25	270.47		-13.88	-4.88%	280.46	267.06	280.85	"4,906,436"		
9-May-25	284.35		2.36	0.84%	282.44	281.97	284.66	"953,432"		
8-May-25	281.99		-2.83	-0.99%	283.7	281.66	285.11	"1,620,116"		
7-May-25	284.82		1.84	0.65%	282.42	281.86	286.48	"1,411,390"		
6-May-25	282.98		0.42	0.15%	282.05	281	285.94	"1,888,535"		
5-May-25	282.56		2.11	0.75%	279.86	278.64	283.11	"1,510,545"		
2-May-25	280.45		3.34	1.21%	278.25	277.75	282.1	"2,245,603"		
1-May-25	277.11		0.03	0.01%	275.27	273.91	278.35	"2,048,050"		
30-Apr-25	277.08		4.72	1.73%	271.98	270.24	278.16	"2,122,397"		
29-Apr-25	272.36		4.44	1.66%	268.24	267.39	272.89	"1,770,762"		
28-Apr-25	267.92		1.62	0.61%	266.83	265.75	268.92	"1,778,588"		
25-Apr-25	266.3		3.03	1.15%	263.03	261.3	266.46	"1,709,146"		
24-Apr-25	263.27		1.79	0.68%	261.48	258.63	266.34	"2,632,246"		
23-Apr-25	261.48		-4.08	-1.54%	256.65	251.9	262.01	"3,476,127"		
22-Apr-25	265.56		5.23	2.01%	261.9	260.78	265.9	"2,744,015"		
21-Apr-25	260.33		-2.2	-0.84%	263.28	257.89	264.38	"2,493,817"		
17-Apr-25	262.53		1.14	0.44%	262.47	261.44	265.21	"1,796,779"		
16-Apr-25	261.39		-1.48	-0.56%	263	260.71	264.94	"2,380,260"		
15-Apr-25	262.87		-0.82	-0.31%	264.12	262.16	265.51	"1,567,919"		
14-Apr-25	263.69		2.15	0.82%	260.62	257.61	265.25	"2,373,838"		
11-Apr-25	261.54		3.15	1.22%	259.05	258.89	264.45	"2,756,992"		
10-Apr-25	258.39		4.26	1.68%	256.62	252.87	260.62	"3,013,914"		
9-Apr-25	254.13		-0.9	-0.35%	252.79	248.53	259.38	"6,336,298"		
8-Apr-25	255.03		2.66	1.05%	256.54	252	258.85	"5,514,600"		
7-Apr-25	252.37		-2.09	-0.82%	254.34	250.17	259.42	"5,472,796"		
4-Apr-25	254.46		-13.9	-5.18%	269.45	254.19	273.42	"5,819,157"		
3-Apr-25	268.36		5.82	2.22%	264.8	263.48	271.22	"4,242,858"		
2-Apr-25	262.54		0.3	0.11%	263.65	261.07	265.56	"2,064,911"		
1-Apr-25	262.24		-3.05	-1.15%	263.99	261.98	264.66	"1,972,749"		
31-Mar-25	265.29		3.07	1.17%	262.71	261.74	265.78	"2,414,834"		
28-Mar-25	262.22		0.37	0.14%	262.56	261.75	263.83	"1,736,196"		
27-Mar-25	261.85		-0.87	-0.33%	263.27	261.57	264.31	"1,892,948"		
26-Mar-25	262.72		0.66	0.25%	262.61	261.01	263.36	"1,909,776"		
25-Mar-25	262.06		-0.88	-0.33%	261.92	259.89	263.43	"2,584,308"		
24-Mar-25	262.94		-0.41	-0.16%	263.23	260.81	263.8	"2,131,577"		
21-Mar-25	263.35		-3.19	-1.20%	266.48	263.02	267.78	"7,238,698"		
20-Mar-25	266.54		1.07	0.40%	265	264.45	267.58	"1,990,464"		
19-Mar-25	265.47		-1.02	-0.38%	265.06	264.01	267.91	"2,878,310"		
18-Mar-25	266.49		2.91	1.10%	263.71	262.96	266.63	"2,770,509"		
17-Mar-25	263.58		4.9	1.89%	261.09	258.64	264.41	"2,453,590"		
14-Mar-25	258.68		-1.16	-0.45%	259.7	256.16	260.03	"1,935,748"		
13-Mar-25	259.84		3.12	1.22%	256.26	254.96	261.08	"3,286,142"		
12-Mar-25	256.72		-3.71	-1.42%	258.43	251.5	258.89	"4,086,319"		
11-Mar-25	260.43		-1.85	-0.71%	262.61	257.24	263.65	"4,312,634"		
10-Mar-25	262.28		7.71	3.03%	254.82	254.3	262.51	"4,407,425"		
7-Mar-25	254.57		0.53	0.21%	252.78	250.51	256.5	"2,698,454"		
6-Mar-25	254.04		-0.44	-0.17%	253.73	249.51	254.34	"2,247,950"		
5-Mar-25	254.48		2.5	0.99%	251.98	251.88	257.11	"2,363,985"		
4-Mar-25	251.98		-4.9	-1.91%	257.96	251.33	258.78	"2,301,238"		
3-Mar-25	256.88		3.11	1.23%	253.9	253.78	257.78	"2,640,586"		
28-Feb-25	253.77		3.92	1.57%	251.6	249.66	254.4	"2,157,509"		
27-Feb-25	249.85		1.86	0.75%	248.12	247.08	251.9	"1,461,135"		
26-Feb-25	247.99		-2.83	-1.13%	250.82	247.24	250.92	"1,941,635"		
25-Feb-25	250.82		3.07	1.24%	248.86	247.74	251.8	"2,131,767"		
24-Feb-25	247.75		-1.12	-0.45%	249.85	247.45	250.37	"1,205,462"		
21-Feb-25	248.87		0.55	0.22%	248.32	246.91	249.23	"1,769,919"		
20-Feb-25	248.32		-2.43	-0.97%	249.63	246.69	249.73	"1,248,672"		
19-Feb-25	250.75		2.9	1.17%	248.12	247.41	251.32	"1,171,264"		
18-Feb-25	247.85		2.37	0.97%	245.82	244.43	248.09	"1,316,714"		
14-Feb-25	245.48		-4.63	-1.85%	248.73	245.2	250.31	"1,444,262"		
13-Feb-25	250.11		1.15	0.46%	250.44	248.73	251.71	"1,683,240"		
12-Feb-25	248.96		7.22	2.99%	245.86	245.24	253.53	"2,575,201"		
11-Feb-25	241.74		-0.07	-0.03%	241.54	239.7	242.6	"1,359,348"		
10-Feb-25	241.81		-3.02	-1.23%	244.38	241.16	245.24	"1,717,221"		
7-Feb-25	244.83		0.42	0.17%	244.29	243.67	246.74	"1,096,100"		
6-Feb-25	244.41		2.77	1.15%	243	242.2	244.96	"1,446,586"		
5-Feb-25	241.64		-0.89	-0.37%	243.33	241.06	243.33	"1,421,621"		
4-Feb-25	242.53		1.88	0.78%	240.1	238.12	242.86	"2,056,007"		
3-Feb-25	240.65		4.13	1.75%	239.8	238.14	241.56	"2,536,837"		
31-Jan-25	236.52		0.6	0.25%	235.28	233.66	237.09	"1,981,749"		
30-Jan-25	235.92		3.42	1.47%	233.74	233.12	239.35	"1,586,525"		
29-Jan-25	232.5		-1.89	-0.81%	233.19	232.32	234.23	"1,640,436"		
28-Jan-25	234.39		-2.56	-1.08%	235.46	233.65	236.47	"1,468,879"		
27-Jan-25	236.95		2.27	0.97%	235.86	234.54	237.89	"1,941,110"		
24-Jan-25	234.68		1.3	0.56%	233.82	233.48	236.17	"1,644,699"		
23-Jan-25	233.38		0.85	0.37%	232.53	230.96	234.39	"2,396,819"		
22-Jan-25	232.53		0.28	0.12%	232.08	230.8	232.73	"1,684,734"		
21-Jan-25	232.25		-0.46	-0.20%	232.89	230.19	234.28	"2,041,375"		
