Dates	Close
Feb-08-2022	21.44
Feb-09-2022	19.96
Feb-10-2022	23.91
Feb-11-2022	27.36
Feb-14-2022	28.33
Feb-15-2022	25.70
Feb-16-2022	24.29
Feb-17-2022	28.11
Feb-18-2022	27.75
Feb-22-2022	28.81
Feb-23-2022	31.02
Feb-24-2022	30.32
Feb-25-2022	27.59
Feb-28-2022	30.15
Mar-01-2022	33.32
Mar-02-2022	30.74
Mar-03-2022	30.48
Mar-04-2022	31.98
Mar-07-2022	36.45
Mar-08-2022	35.13
Mar-09-2022	32.45
Mar-10-2022	30.23
Mar-11-2022	30.75
Mar-14-2022	31.77
Mar-15-2022	29.83
Mar-16-2022	26.67
Mar-17-2022	25.67
Mar-18-2022	23.87
Mar-21-2022	23.53
Mar-22-2022	22.94
Mar-23-2022	23.57
Mar-24-2022	21.67
Mar-25-2022	20.81
Mar-28-2022	19.63
Mar-29-2022	18.90
Mar-30-2022	19.33
Mar-31-2022	20.56
Apr-01-2022	19.63
Apr-04-2022	18.57
Apr-05-2022	21.03
Apr-06-2022	22.10
Apr-07-2022	21.55
Apr-08-2022	21.16
Apr-11-2022	24.37
Apr-12-2022	24.26
Apr-13-2022	21.82
Apr-14-2022	22.70
Apr-18-2022	22.17
Apr-19-2022	21.37
Apr-20-2022	20.32
Apr-21-2022	22.68
Apr-22-2022	28.21
Apr-25-2022	27.02
Apr-26-2022	33.52
Apr-27-2022	31.60
Apr-28-2022	29.99
Apr-29-2022	33.40
May-02-2022	32.34
May-03-2022	29.25
May-04-2022	25.42
May-05-2022	31.20
May-06-2022	30.19
May-09-2022	34.75
May-10-2022	32.99
May-11-2022	32.56
May-12-2022	31.77
May-13-2022	28.87
May-16-2022	27.47
May-17-2022	26.10
May-18-2022	30.96
May-19-2022	29.35
May-20-2022	29.43
May-23-2022	28.48
May-24-2022	29.45
May-25-2022	28.37
May-26-2022	27.50
May-27-2022	25.72
May-31-2022	26.19
Jun-01-2022	25.69
Jun-02-2022	24.72
Jun-03-2022	24.79
Jun-06-2022	25.07
Jun-07-2022	24.02
Jun-08-2022	23.96
Jun-09-2022	26.09
Jun-10-2022	27.75
Jun-13-2022	34.02
Jun-14-2022	32.69
Jun-15-2022	29.62
Jun-16-2022	32.95
Jun-17-2022	31.13
Jun-21-2022	30.19
Jun-22-2022	28.95
Jun-23-2022	29.05
Jun-24-2022	27.23
Jun-27-2022	26.95
Jun-28-2022	28.36
Jun-29-2022	28.16
Jun-30-2022	28.71
Jul-01-2022	26.70
Jul-05-2022	27.54
Jul-06-2022	26.73
